tweet_id,text,is_credible,disaster
1483698600286859264,"CALIFORNIA WILD FIRES! THE ONLY FOREST FIRES THAT DON’T BURN THE FOREST!!! INSTEAD THEY BURN AND MELT CARS, HOMES &amp; SHOPS! MOST LIKELY CAUSED BY D.E.W.S. (DIRECT ENERGY WEAPONS) D.E.W.S HAVE BEEN REPORTED TO HAVE BEEN USED AT 9/11, GREECE, ITALY AND MANY OTHER LOCATIONS ✈️ 🔥🔥🔥 https://t.co/pZP103lolo",0,1
1448345163886120965,#California Directed energy weapons mounted to an aircraft. \n\nThis is how forest fires get started.\n\n😳🤯 #wakeupamerica 🇺🇸🦅🙏🏼 https://t.co/rHbesZOMjH,0,1
1435441477807534082,"When did California begin to have an official fire season? Maybe when the gov't decided to burn out places with DEWs (Direct Energy Weapons) it didn't want inhabited anymore. Remember the movie ""Real Genius"" when a DEW was featured &amp; blew up a house by loading it with popcorn. https://t.co/nWQkhTmKIQ",0,1
1433103637568372749,"The fire that burned down paradise, california, according to many survivors, was some sort of experiment with whats been called ‘directed energy weapons’",0,1
1430846159287848963,@Avaaz @UNBiodiversity Conservation is not same as Preservation \nHave you researched Directed Energy Weapons being used to start fires? This subject has an investigation attached regarding fires in California. \nThere is a real danger of conservation a guise so as to tie up the nature to banking cartel,0,1
1424745432513753096,@slyfox__ They are called Direct Energy Weapons!!! The airplanes create the forest fires in California and Oregon!!!!,0,1
1424420273613414403,"DEW - Direct Energy Weapons.\nDEW for ""Natural"" disasters as ""Forest"" fires/ ""Camp"" fires, ""Bushfires"" and the Made Up ""Climate Change"" to set Rainforests on fire The Fires in California, US and Australia are Very similar. https://t.co/ckYmk7owcg",0,1
1423193477794484227,"@Rajput_ssr2 Directed Energy Weapons in use, wherever you see these fires that don't 'behave' like normal fires. It's happening everywhere and California is an obvious example.",0,1
1422996831705968648,Are Directed Energy Weapons Starting Fires In California and Oregon!? | Survival | Before It's News https://t.co/dJYX3OoFiP,0,1
1416087367790710787,Could the California fires have been caused by directed energy weapons?\nhttps://t.co/cpv7nyEaSH https://t.co/6rm2pi6xLp,0,1
1415733204141625345,DEW = Direct Energy Weapons. Discovery of multiple fires across Idaho (I think from last year?) and California- all equal distance from each other.....\n\nhttps://t.co/EG327Mp8Wb,0,1
1411510502379773954,"@NWSBoise Weather manipulation, that's why it's not budging anytime soon. Then the Bush fires will start created by direct energy weapons. Same ones used in the California fires.",0,1
1410707956232974341,"DEW directed energy weapons dev by ""Lockhead martin"" probably used in recent california fires they were used in the past \nConspiracists say lasers and exploding smart meters used to start bush fires to make way for a new train network, via @nzherald https://t.co/1vEY3AhOaF",0,1
1401539031213740035,"Did the Egyptians have Direct Energy Weapons (DEW) like we saw possibly used in the California fires?\n\nSure seems like it from this passage from their ancient texts (mainstream scholars claim its all symbolism and they were primitive people, but see the actual text for yourself) https://t.co/LmxlXGfX0I",0,1
1400372180655898624,Directed Energy Weapons California Fires 11/12/18 https://t.co/i9tPzJmqn3 via @YouTube SOME IMPORTANT INFO ALL NEED TO KNOW ABOUT AROUND ALL THE FIRES ASSOCIATED WITH UN AGENDA 21 !!!,0,1
1398648651774251008,@RealGeoEngWatch #DEW #Arizona #Fires #California #Baghdad Number of random fires statistically impossible. High winds in Phoenix not probable-not #climatechange Think hard -trust yourself. #USAdown #SaturdayVibes Thermal Management Directed Energy Weapons https://t.co/1WK9XUcXki,0,1
